Symbol,AssetType,Name,Description,Sector,Industry
BKR,Common Stock,Baker Hughes Company,"Baker Hughes Company provides a portfolio of technologies and services to energy and industrial value chain worldwide. It operates through two segments: Oilfield Services & Equipment (OFSE) and Industrial & Energy Technology (IET). The OFSE segment designs and manufactures products and provides related services, including exploration, appraisal, development, production, rejuvenation, and decommissioning for onshore and offshore oilfield operations. This segment also provides drilling services, drill bits, and drilling and completions fluids; completions, intervention, measurements, pressure pumping, and wireline services; artificial lift systems, and oilfield and industrial chemicals; subsea projects and services, flexible pipe systems, and surface pressure control systems; and integrated well services and solutions. It serves oil and natural gas companies; the United States and international independent oil and natural gas companies; national or state-owned oil companies; engineering, procurement, and construction contractors; geothermal companies; and other oilfield service companies. The IET segment designs, manufactures, tests, and installs gas technology equipment, including drivers, driven equipment, flow control, and turnkey solutions for the mechanical-drive, compression, and power-generation applications; and gas technology services, such as advanced solutions, spare parts, specialized field service engineers, and repair services. This segment also provides rack-based vibration monitoring equipment and sensors; integrated asset performance management products; inspection services; pumps, valves, and gears; precision sensors and instrumentation, and controls. It serves upstream, midstream, downstream, onshore, offshore, and small and large scale customers. The company was formerly known as Baker Hughes, a GE company and changed its name to Baker Hughes Company in October 2019. Baker Hughes Company was incorporated in 2016 and is based in Houston, Texas.",ENERGY & TRANSPORTATION,OIL & GAS EQUIPMENT & SERVICES
BP,Common Stock,BP PLC ADR,"BP plc participates in the energy business globally. The company is headquartered in London, the United Kingdom.",ENERGY & TRANSPORTATION,PETROLEUM REFINING
BPT,Common Stock,BP Prudhoe Bay Royalty Trust,"BP Prudhoe Bay Royalty Trust is a grantor trust in the United States. The company is headquartered in Houston, Texas.",TECHNOLOGY,GENERAL
CEO,Common Stock,CNOOC Limited,"CNOOC Limited operates exploration and production businesses. The Company explores, develops, produces, and sells crude oils, natural gas products, and other products. CNOOC also provides oils and natural gas products marketing and trading services.",ENERGY & TRANSPORTATION,OIL & GAS EQUIPMENT & SERVICES
CHK,Common Stock,Chesapeake Energy Corporation,"Chesapeake Energy Corporation, an independent exploration and production company, engages in the acquisition, exploration, and development of properties to produce oil, natural gas, and natural gas liquids from underground reservoirs in the United States. The company holds interests in natural gas resource plays in the Marcellus Shale in the northern Appalachian Basin in Pennsylvania and the Haynesville/Bossier Shales in northwestern Louisiana. The company was founded in 1989 and is headquartered in Oklahoma City, Oklahoma.",ENERGY & TRANSPORTATION,OIL & GAS EQUIPMENT & SERVICES
COP,Common Stock,ConocoPhillips,"ConocoPhillips is an American multinational corporation engaged in hydrocarbon exploration. It is based in the Energy Corridor district of Houston, Texas.",ENERGY & TRANSPORTATION,PETROLEUM REFINING
CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",ENERGY & TRANSPORTATION,PETROLEUM REFINING
DVN,Common Stock,Devon Energy Corporation,Devon Energy Corporation is an American energy company engaged in hydrocarbon exploration in the American market.,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS
E,Common Stock,Eni S.p.A,"Eni S.p.A. operates as an integrated energy company worldwide. It engages in exploration, development, extracting, manufacturing, and marketing crude oil and natural gas, oil-based fuels, chemical products, and gas-fired power, as well as energy products from renewable sources. The company operates through Exploration & Production; Global Gas & LNG Portfolio (GGP); Refining & Marketing and Chemicals; Plenitude & Power; and Corporate and Other Activities segments. The Exploration & Production segment engages in research, development, and production of oil, condensates, and natural gas; and forestry conservation and CO2 capture and storage projects. The GGP segment is involved in the supply and sale of wholesale natural gas through pipeline; and international transport, and purchase and marketing of liquefied natural gas. The Refining & Marketing and Chemicals segment supplies, processes, distributes, and markets fuels and chemicals. The Plenitude & Power segment engages in the retail sale of gas, electricity, and related services; production and wholesale sale of electricity from thermoelectric and renewable plants; and provision of services for E-mobility. The Corporate and Other Activities segment is involved in the research and development, new technologies, business digitalization, and environmental activities. The company was founded in 1953 and is headquartered in Rome, Italy.",ENERGY & TRANSPORTATION,OIL & GAS INTEGRATED
EOG,Common Stock,EOG Resources Inc,"EOG Resources, Inc. is an American energy company engaged in hydrocarbon exploration. It is organized in Delaware and headquartered in the Heritage Plaza building in Houston, Texas.",ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS
