date,climate_sentence_count,text,word_count,Stemd_text,Sentiments
1982-06-09,14,method organize defensive capabilities nuclear conventional aggressor could hope military victory,24,method organ defens capabl nuclear convent aggressor could hope militari victori,neutral
1982-06-09,14,danger conflict could escalate nuclear war,13,danger conflict could escal nuclear war,neutral
1982-06-09,14,strong conventional forces make danger conventional nuclear conflict remote,14,strong convent forc make danger convent nuclear conflict remot,positive
1982-06-09,14,close conventional gap less risks aggression nuclear conflict,16,close convent gap less risk aggress nuclear conflict,negative
1982-06-09,14,bundeswehr model integration defense needs democratic way life shrunk heavy responsibility accepting nuclear forces necessary deterrence,34,bundeswehr model integr defens need democrat way life shrunk heavi respons accept nuclear forc necessari deterr,neutral
1982-06-09,14,recent months country mine renewed public concern threat nuclear war arms buildup,25,recent month countri mine renew public concern threat nuclear war arm buildup,neutral
1982-06-09,14,might quote heine almost foretold fears nuclear war wrote wild dark times rumbling toward us prophet wishes write new apocalypse invent entirely new beasts beasts terrible ancient animal symbols seem like cooing doves cupids comparison nuclear threat terrible beast,66,might quot hein almost foretold fear nuclear war wrote wild dark time rumbl toward us prophet wish write new apocalyps invent entir new beast beast terribl ancient anim symbol seem like coo dove cupid comparison nuclear threat terribl beast,positive
1982-06-09,14,perhaps banner carried one nuclear demonstrations germany said best,16,perhap banner carri one nuclear demonstr germani said best,positive
1982-06-09,14,comparison nuclear war suffering caused conventional war seems lesser evil,20,comparison nuclear war suffer caus convent war seem lesser evil,negative
1982-06-09,14,would remind united states proposed ban landbased intermediaterange nuclear missilesthe missiles threatening europe,24,would remind unit state propos ban landbas intermediaterang nuclear missilesth missil threaten europ,neutral
1982-06-09,14,one element calls reducing landbased intermediaterange nuclear missiles zero side,14,one element call reduc landbas intermediaterang nuclear missil zero side,neutral
1982-06-09,14,move ahead preparations modernize nuclear forces europe,14,move ahead prepar modern nuclear forc europ,positive
1982-06-09,14,also work unceasingly gain acceptance geneva proposal ban landbased intermediaterange nuclear missiles,21,also work unceasingli gain accept geneva propos ban landbas intermediaterang nuclear missil,neutral
1982-06-09,14,united states move forward plans announced last year modernize strategic nuclear forces play vital role maintaining peace deterring war,33,unit state move forward plan announc last year modern strateg nuclear forc play vital role maintain peac deter war,positive
